SAMPLE_RATE,SNR,LSD,LSD_HF,LSD_LF,VISQOL,STOI,CER,WER,CER_BASELINE,WER_BASELINE,RTF,RTF_RECIPROCAL
8000,15.309763067386408,0.5515064024878554,0.5710938659033322,0.20002939113963408,2.92658710791367,0.9945594764117514,0.00819908082943728,0.020623101792887233,0.00688881609640372,0.017928872342510043,0.026700732044899592,60.69487094584486
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,15.584573782095099,0.5034558577149102,0.5405112346662808,0.21377458046661335,3.292252356115108,0.9894968021028082,0.007811957158313729,0.019104536102674635,0.00688881609640372,0.017928872342510043,0.028153829708049208,56.43391006903089
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,9.001176023304685,2.0004738972915206,2.1847140535757905,0.30728647994637937,1.8211667733812935,0.9736803582874402,0.007891367142133945,0.019594396002743215,0.00688881609640372,0.017928872342510043,0.023565377378396778,65.0479942070474
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,16.423161889811052,0.4866467539371988,0.522298274384821,0.20306764610789038,3.308206910071946,0.9909172083972357,0.007404980991235123,0.018761634172626628,0.00688881609640372,0.017928872342510043,0.02834784895711467,58.0746326538447
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,18.60077346292612,0.4800897135564491,0.5192385725131602,0.15574978331181927,3.294834974820139,0.9958908092580065,0.007424833487190177,0.018565690212599198,0.00688881609640372,0.017928872342510043,0.030421303325276688,53.81489564374006
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,18.370315347839707,0.45464704866854966,0.48954228176565695,0.17712197695555312,3.293834830935245,0.9959855456196034,0.007146898543819421,0.018663662192612913,0.00688881609640372,0.017928872342510043,0.02857179149933319,54.25055560323734
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,19.016673613130376,0.44698346369437797,0.48385763934448456,0.15143126170292046,3.374144946043166,0.9971141868060132,0.0076432109426957705,0.01895757813265406,0.00688881609640372,0.017928872342510043,0.02677401787022766,52.58933799587501
0,0,0,0,0,0,0,0,0,0,0,0,0
16000,19.68974185127931,0.4624075107238388,0.5025701353267459,0.11766145253794348,3.3448726007194276,0.9980283448346292,0.007573727206853081,0.018810620162633487,0.00688881609640372,0.017928872342510043,0.02873220614721089,48.06759646643875
0,0,0,0,0,0,0,0,0,0,0,0,0